Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Combined Influence of Classifiers, Window Lengths and Number of Channels on EMG Pattern Recognition for Upper Limb Movement Classification;"A. Zhang; N. Gao; L. Wang; Q. Li";"School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China";2018 11th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI);03. Feb 19;2018;;;1;5;"Electromyogram pattern recognition (EMG-PR) is a very important method for upper limb movement classification. However, there are many factors such as classifiers, window lengths and number of channels which can make an influence on EMG-PR efficiency. Previous studies examined the effects of three different factors on EMG-PR separately. However, the combinations of three different factors (classifiers, window lengths and number of channels) may also affect the classification accuracy of EMG-PR. In present study, we discussed the effects of combinations of three different factors including classifiers, window lengths and number of channels on EMG-PR. We analyzed the different combinations of three factors. Four healthy subjects participated in this study, and they played five motions of hand and wrist in this experiment. We found that these three factors had a significant effect on EMG-PRe The performance of linear discriminant analysis (LDA) of EMG-PR outperformed the performance of back propagation neural network (BPNN) (p <; 10-3). The classification accuracy of LDA is higher than support vector machine (SVM) (p <; 10-3). In addition, 200 ms window length had enough data to classify the different motions. Furthermore, we also found that five channels has a significant increase when compared to three channels (p <; 0.05). The proposed method can increase the performance of EMG-PR.";;978-1-5386-7604-2;10.1109/CISP-BMEI.2018.8633114;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8633114;"Upper limb;EMG;combined factors;pattern recognition";"Microsoft Windows;Electromyography;Mathematical model;Pattern recognition;Support vector machines;Wrist;Electrodes";;7;;15;IEEE;03. Feb 19;;;IEEE;IEEE Conferences
EMG Verilerinin Sınıflandırılmasında PCA Boyut İndirgeme Tekniğinin Etkisinin İncelenmesi Investigating the Effect of PCA Dimension Reduction Technique in Classifying EMG Data;"M. E. Konuk; D. Ö. Şahin; E. Kılıç";"Bilgisayar Mühendisliği Bölümü, Ondokuz Mayıs Üniversitesi, Samsun, Türkiye; Bilgisayar Mühendisliği Bölümü, Ondokuz Mayıs Üniversitesi, Samsun, Türkiye; Bilgisayar Mühendisliği Bölümü, Ondokuz Mayıs Üniversitesi, Samsun, Türkiye";2024 International Congress on Human-Computer Interaction, Optimization and Robotic Applications (HORA);12. Jun 24;2024;;;1;6;This study aims to classify different hand movements using electromyography (EMG) data. The dataset used in the study is an 8-class problem. A completely balanced data set consisting of 1000 samples from each class is classified with different machine learning algorithms. 5 different machine learning algorithms are used to classify the data: K-Nearest Neighbor (KNN), Support Vector Machine (SVM), Random Forest (RF), Naive Bayes (NB) and Logistic Regression (LR). To increase the efficiency of classification algorithms, dimension reduction is performed with Principal Component Analysis (PCA). In this way, the data is classified by reducing the original data to fewer than 8 attributes. In the classification performed with only 4 components, the highest performance is obtained from RF algorithm with 98% according to accuracy and F-measure metric. This result shows that PCA has a significant effect in classifying EMG signals.;;979-8-3503-9463-4;10.1109/HORA61326.2024.10550782;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550782;"EMG signal processing;EMG signal classification;pattern recognition;pattern classification;principal component analysis";"Support vector machines;Radio frequency;Dimensionality reduction;Machine learning algorithms;Signal processing algorithms;Electromyography;Classification algorithms";;;;0;IEEE;12. Jun 24;;;IEEE;IEEE Conferences
Feature extraction and pattern recognition of EMG-based signal for hand movements;"M. Jahan; M. Manas; B. B. Sharma; B. B. Gogoi";"Electrical Engineering Department, Jamia Millia Islamia (A Central University), New Delhi, India; Electrical Engineering Department, Jamia Millia Islamia (A Central University), New Delhi, India; Electrical Engineering Department, Jamia Millia Islamia (A Central University), New Delhi, India; Department of Energy, Tezpur University (A Central University), Assam, India";2015 International Symposium on Advanced Computing and Communication (ISACC);11. Jan 16;2015;;;49;52;EMG pattern recognition has been developed to interpret the performance of different functional movements. It can be used to develop the movement control techniques of assistive devices for people who are physically disabled. Suitable features in time domain are extracted from three different hand movements. The EMG signal was recorded from Cubitus (Elbow) bending, Carpus (Wrist) twist, Brachium (Arm) twist and Palm contraction of forty eight healthy subjects (male and female) by two pairs of Ag-AgCl surface electrodes on the right and left antebrachium. The performance of the classifier indicates EMG-based recognition accuracy for similar movement of right vs. left is found to be more than 95% and for different movement of around 90%. Also, the classification accuracy for average data set is achieved around 93-97% when compared for left and right hand.;;978-1-4673-6708-0;10.1109/ISACC.2015.7377314;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7377314;"electromyograph;prosthesis;signal classification;pattern recognition";"Reactive power;Robots;Electromyography";;12;;10;IEEE;11. Jan 16;;;IEEE;IEEE Conferences
A novel HCI based on EMG and IMU;"A. Xiong; Y. Chen; X. Zhao; J. Han; G. Liu";"State Key Laboratory of Robotics, Shenyang Institute of Automation (SIA), Chinese Academy of Sciences, Shenyang, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China; State Key Laboratory of Robotics, SIA, CAS, China; State Key Laboratory of Robotics, SIA, CAS, China; Department of AeroSpace Engineering, Ryerson University, Toronto, Canada";2011 IEEE International Conference on Robotics and Biomimetics;12. Apr 12;2011;;;2653;2657;"The technology of human-computer interaction (HCI) is developing rapidly in tandem with the advancement of information and biological technologies. Many new types input device are introduced into this field; some of them are aimed to benefit special groups of people like old or disabled persons. In the meantime, Electromyography (EMG) and Inertia Measure Unit (IMU) have been readily available and extensively applied in control systems in many fields. In this paper, we propose a novel EMG-IMU based mouse controller that controls cursor movements based on IMU signals. The displacement of the cursor is determined by integrating the acceleration signal from the IMU, which moves with the operator's arm. The mouse operations such as left click, right click and wheel scroll, are commanded through EMG signals. The pattern recognition algorithm, Linear Discriminant Analysis (LDA), is adopted to classify the EMG data into several clusters, which correspond to the pre-defined mouse operations. Experimental results have indicated that the proposed mouse controller can achieve an accuracy of 88%.";;978-1-4577-2138-0;10.1109/ROBIO.2011.6181705;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6181705;;"Electromyography;Acceleration;Mice;Thumb;Real time systems;Muscles";;13;26;16;IEEE;12. Apr 12;;;IEEE;IEEE Conferences
Influence of Different Feature Selection Methods on EMG Pattern Recognition;"A. Zhang; Q. Li; N. Gao; L. Wang; Y. Wu";"School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, China";2019 IEEE International Conference on Mechatronics and Automation (ICMA);29. Aug 19;2019;;;880;885;Feature extraction is an important method in electromyography (EMG) pattern recognition. High-dimensional EMG features vector lead to redundancy of features. Redundancy of features results in a decrease in classification accuracy of EMG pattern recognition and an increase in computation time for classifier to classify the pattern of EMG signal. Many researchers used feature selection method to decrease the redundancy of features. Sequential forward selection (SFS) and particle swarm optimization (PSO) are widely used in feature selection. This study mainly discusses the effect of two different feature selection methods (SFS and PSO) on EMG pattern recognition. We proposed three methods to compare the different influences of different feature selection methods on EMG pattern recognition. They are support vector machine (SVM) combines with none feature selection method, SVM combines with SFS (SFSSVM) and SVM combines with PSO (PSOSVM). We used SVM, SFSSVM and PSOSVM to classify 11 arm movements respectively. By discussing the classification accuracy and computation time of the three methods, we discussed the different influences of different feature selection methods on EMG pattern recognition. The results showed that the PSOSVM outperformed SVM and SFSSVM. The result implied that PSO is a proper feature selection method for EMG pattern recognition.;2152-744X;978-1-7281-1699-0;10.1109/ICMA.2019.8816640;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816640;"feature selection;electromyography (EMG);pattern recognition;support vector machine (SVM);Sequential forward;selection (SFS) particle swarm optimization (PSO);support vector machine (SVM)";"Electromyography;Pattern recognition;Feature extraction;Support vector machines;Redundancy;Particle swarm optimization;Real-time systems";;3;;20;IEEE;29. Aug 19;;;IEEE;IEEE Conferences
Improved Robustness of EMG Pattern Recognition for Transradial Amputees with EMG Features Against Force Level Variations;"O. S. Powar; K. Chemmangat";"Department of Biomedical Engineering, Manipal Institute of Technology, Manipal Academy of Higher Education, Karnataka, India; Department of Electrical and Electronics Engineering, National Institute of Technology, Mangalore, Karnataka, India";TENCON 2023 - 2023 IEEE Region 10 Conference (TENCON);22. Nov 23;2023;;;864;869;Feature extraction is an essential process for removing the unwanted part and interference of the Electromyography (EMG) signal, and to extract the useful information hidden in it. Inorder to obtain high performance of Myoelectric Control (MEC), the choice of features plays an important role. The studies carried out earlier to overcome force level variation have used features which are redundant, affecting the robustness and the classification performance. This study's main objective is to assess a database's performance consisting of nine upper limb amputee subjects with EMG data recorded at three different force levels when six motions were classified using twenty different time domain features that are frequently found in the literature. Training is carried out at one force level, and the other two unknown force levels are used for testing. Out of the twenty features, the one that is the most stable is displayed for each force level. The results show that root mean square (RMS) feature outperformed other features for training at low and medium force levels, and Wilson amplitude (WAMP) feature for training at a high force level, when compared with the most widely used linear discriminant analysis (LDA) classifier. The average classification accuracy for the nine amputee subjects trained with the RMS feature at low and medium force levels was 42% and 51.78% percent, respectively. For high force level, when trained using WAMP feature, an accuracy of 46.78% has been obtained. The features are verified using histogram plots. This study will help select those features which are not important for robust classification of hand movements.;2159-3450;979-8-3503-0219-6;10.1109/TENCON58879.2023.10322460;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322460;"force level variations;feature extraction;robust classification;upper limb amputees;myoelectric control";"Training;Resistance;Force;Feature extraction;Electromyography;Robustness;Time-domain analysis";;;;20;IEEE;22. Nov 23;;;IEEE;IEEE Conferences
EMG Pattern Recognition System Based on Neural Networks;"J. C. Gonzalez-Ibarra; C. Soubervielle-Montalvo; O. Vital-Ochoa; H. G. Perez-Gonzalez";"Centro de Investigación y Estudios de Posgrado (CIEP), Facultad de Ingeniería, Universidad Autónoma de San Luis Potosí, San Luis Potosi, San Luis Potosi, Mexico; Centro de Investigación y Estudios de Posgrado (CIEP), Facultad de Ingeniería, Universidad Autónoma de San Luis Potosí, San Luis Potosi, San Luis Potosi, Mexico; Centro de Investigación y Estudios de Posgrado (CIEP), Facultad de Ingeniería, Universidad Autónoma de San Luis Potosí, San Luis Potosi, San Luis Potosi, Mexico; Centro de Investigación y Estudios de Posgrado (CIEP), Facultad de Ingeniería, Universidad Autónoma de San Luis Potosí, San Luis Potosi, San Luis Potosi, Mexico";2012 11th Mexican International Conference on Artificial Intelligence;24 Dec 2012;2012;;;71;74;In this document we present a methodology for movement pattern recognition from arm-forearm myoelectric signals, starting off from the design and implementation of an electromyography (EMG) instrumentation system, considering the Surface EMG for the Non Invasive Assessment of Muscles (SENIAM) rules. Signal processing and characterization techniques were applied using the pass-band Butter worth digital filter and fast Fourier transform (FFT). Artificial neural networks (ANN) such as back propagation and radial basis function (RBF) were used for the pattern recognition or classification of the EMG signals. The best results were obtained using the RBF ANN, achieving an average accuracy of 98%.;;978-1-4673-4731-0;10.1109/MICAI.2012.23;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6387218;"Artificial Neural Networks;EMG;FFT;Pattern Recognition";"Electromyography;Electrodes;Artificial neural networks;Pattern recognition;Muscles;Accuracy;Neurons";;13;;12;IEEE;24 Dec 2012;;;IEEE;IEEE Conferences
Electromyographic movement pattern recognition based on random forest algorithm;"C. Ling-ling; L. Ya-ying; Z. Teng-yu; W. Qian";"School of Control Science and Engineering, Hebei University of Technology, Tianjin, China; School of Control Science and Engineering, Hebei University of Technology, Tianjin, China; National Research Center for Rehabilitation Technical Aids, Beijing, China; School of Control Science and Engineering, Hebei University of Technology, Tianjin, China";2015 34th Chinese Control Conference (CCC);14. Sep 15;2015;;;3753;3758;Movement pattern recognition is the basis for flexible control of lower-limb rehabilitation aids. To improve the effect of lower-limb movement pattern recognition, an electromyographic recognition method to identify movement patterns without movement information was proposed. Firstly, the initial moment of feature extraction was detected by the integral of absolute value of surface electromyography (EMG) recorded from gluteus medius muscle. Secondly, the features were extracted from the surface EMG recorded from five main muscles of lower limb. Finally, Random Forest algorithm was applied to recognize the five movement modes (level-ground walking, stair ascent, ramp ascent, stair descent, and ramp descent), while the importance of every feature was estimated by the recognition precision and Gini index. The features with greater contribution were picked out and applied to recognize. The simulation result indicates that this method had achieved an average accuracy of 99.2% in five movement modes recognition, which is conductive to the further study of lower-limb rehabilitation aids.;1934-1768;978-9-8815-6389-7;10.1109/ChiCC.2015.7260220;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7260220;"Movement recognition;surface electromyography;Random Forest algorithm;feature extraction";"Feature extraction;Electromyography;Vegetation;Accuracy;Classification algorithms;Muscles;Pattern recognition";;2;;21;;14. Sep 15;;;IEEE;IEEE Conferences
Two-channel surface electromyography for individual and combined finger movements;"K. Anam; R. N. Khushaba; A. Al-Jumaily";"University of Jember, Indonesia; School of Electrical, Mechanical and Mechatronic Systems, University of Technology, Sydney; School of Electrical, Mechanical and Mechatronic Systems, University of Technology, Sydney";2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC);26. Sep 13;2013;;;4961;4964;This paper proposes the pattern recognition system for individual and combined finger movements by using two channel electromyography (EMG) signals. The proposed system employs Spectral Regression Discriminant Analysis (SRDA) for dimensionality reduction, Extreme Learning Machine (ELM) for classification and the majority vote for the classification smoothness. The advantage of the SRDA is its speed which is faster than original LDA so that it could deal with multiple features. In addition, the use of ELM which is fast and has similar classification performance to well-known SVM empowers the classification system. The experimental results show that the proposed system was able to recognize the individual and combined fingers movements with up to 98 % classification accuracy by using only just two EMG channels.;1558-4615;978-1-4577-0216-7;10.1109/EMBC.2013.6610661;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610661;;"Thumb;Accuracy;Electromyography;Feature extraction;Support vector machines;Equations";"Adult;Algorithms;Artificial Intelligence;Discriminant Analysis;Electromyography;Female;Fingers;Humans;Male;Movement;Normal Distribution;Pattern Recognition, Automated;Reproducibility of Results;Young Adult";18;;14;IEEE;26. Sep 13;;;IEEE;IEEE Conferences
Novel Features for EMG Pattern Recognition Based on Higher Order Crossings;"A. Phinyomark; E. Scheme";"Department of Electrical and Computer Engineering, University of New Brunswick, Fredericton, NB, Canada; Department of Electrical and Computer Engineering, University of New Brunswick, Fredericton, NB, Canada";2018 IEEE Life Sciences Conference (LSC);13 Dec 2018;2018;;;263;266;"In this work, we present a novel set of higher order time domain features for surface electromyographic (EMG) pattern recognition. The proposed methods employ simple measures of frequency information extracted from EMG time series when a sequence of differencing filters is applied. Multiple EMG datasets consisting of 48 able-bodied and transradial amputee subjects performing a large variety of hand and fingers movements are used to evaluate the performance and robustness of the proposed features. The results show that these novel higher order-based features provide significantly better performance than their traditional counterparts by 3-15 % (p <; 0.05). The best proposed feature, higher-order myopulse percentage rate, also significantly outperformed other frequency information-based EMG features in the time and frequency domains: histogram, mean frequency, and median frequency, by 8-14%, 8-25%, and 14-35% (p <; 0.05), respectively. With relatively less computational complexity, the proposed features could potentially be used as new features for extracting frequency information for EMG- based pattern recognition systems.";;978-1-5386-6709-5;10.1109/LSC.2018.8572239;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8572239;;"Feature extraction;Electromyography;Time-frequency analysis;Pattern recognition;Time-domain analysis";;1;;23;IEEE;13 Dec 2018;;;IEEE;IEEE Conferences
